,,,,,Submission Delinquency Report
,Run Date:,,2023-01-03
,For:,,Year: 22, Period: 3, Week: 5
,Filter For all units

Sector,Unit #,Fiscal Year,Period,Week,UserName - Purchases,Date Purchases Submitted,Username - Sales,Date Sales Submitted,Data Entered (Y/N), Forced Submission
01,5250,22,3,5,ORBIT_System_User,1/3/2023 2:19:54 AM,,1/1/1900 12:00:00 AM,N,Y
09,5310,22,3,5,ORBIT_System_User,1/3/2023 12:17:19 AM,,1/1/1900 12:00:00 AM,N,Y
03,5330,22,3,5,ORBIT_System_User,1/3/2023 1:52:08 AM,ORBIT_System_User,1/3/2023 1:52:07 AM,N,Y
03,5355,22,3,5,blossom.alemao,12/28/2022 2:47:25 PM,,1/1/1900 12:00:00 AM,Y,N
54,5380,22,3,5,ORBIT_System_User,1/3/2023 1:52:09 AM,ORBIT_System_User,1/3/2023 1:52:09 AM,N,Y
54,5390,22,3,5,ORBIT_System_User,1/3/2023 12:03:01 AM,,1/1/1900 12:00:00 AM,N,Y
17,5430,22,3,5,ORBIT_System_User,1/3/2023 1:52:10 AM,ORBIT_System_User,1/3/2023 1:52:10 AM,N,Y
13,5460,22,3,5,ewelina.gouveia,1/2/2023 11:43:22 PM,ewelina.gouveia,1/2/2023 11:43:31 PM,N,N
13,5465,22,3,5,ORBIT_System_User,1/3/2023 12:13:37 AM,,1/1/1900 12:00:00 AM,N,Y
52,5510,22,3,5,rosella.dyck,12/30/2022 1:39:49 PM,rosella.dyck,12/30/2022 1:40:00 PM,N,N
44,5584,22,3,5,ORBIT_System_User,1/3/2023 2:26:18 AM,,1/1/1900 12:00:00 AM,N,Y
06,5600,22,3,5,ORBIT_System_User,1/3/2023 1:52:11 AM,,1/1/1900 12:00:00 AM,N,Y
06,5610,22,3,5,rosella.dyck,12/30/2022 1:40:19 PM,rosella.dyck,12/30/2022 1:40:31 PM,N,N
06,5640,22,3,5,ORBIT_System_User,1/3/2023 2:18:59 AM,,1/1/1900 12:00:00 AM,N,Y
06,5650,22,3,5,ORBIT_System_User,1/3/2023 2:19:53 AM,,1/1/1900 12:00:00 AM,N,Y
06,5730,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
17,5810,22,3,5,ORBIT_System_User,1/3/2023 1:52:13 AM,ORBIT_System_User,1/3/2023 1:52:13 AM,N,Y
22,5830,22,3,5,ORBIT_System_User,1/3/2023 1:52:14 AM,ORBIT_System_User,1/3/2023 1:52:14 AM,N,Y
06,5870,22,3,5,ORBIT_System_User,1/3/2023 2:30:12 AM,,1/1/1900 12:00:00 AM,N,Y
27,5961,22,3,5,ORBIT_System_User,1/3/2023 12:05:37 AM,,1/1/1900 12:00:00 AM,N,Y
13,5964,22,3,5,ORBIT_System_User,1/3/2023 12:05:47 AM,,1/1/1900 12:00:00 AM,N,Y
13,5965,22,3,5,ORBIT_System_User,1/3/2023 12:05:51 AM,,1/1/1900 12:00:00 AM,N,Y
17,5971,22,3,5,ORBIT_System_User,1/3/2023 12:12:49 AM,,1/1/1900 12:00:00 AM,N,Y
17,5972,22,3,5,ORBIT_System_User,1/3/2023 12:12:58 AM,,1/1/1900 12:00:00 AM,N,Y
13,5975,22,3,5,ORBIT_System_User,1/3/2023 12:16:00 AM,,1/1/1900 12:00:00 AM,N,Y
36,6890,22,3,5,ORBIT_System_User,1/3/2023 12:20:30 AM,,1/1/1900 12:00:00 AM,N,Y
15,7110,22,3,5,ORBIT_System_User,1/3/2023 2:28:04 AM,ORBIT_System_User,1/3/2023 2:28:04 AM,N,Y
16,7220,22,3,5,ORBIT_System_User,1/3/2023 12:13:30 AM,ORBIT_System_User,1/3/2023 12:13:30 AM,N,Y
22,7740,22,3,5,ORBIT_System_User,1/3/2023 2:19:05 AM,,1/1/1900 12:00:00 AM,N,Y
27,8480,22,3,5,ORBIT_System_User,1/3/2023 12:04:21 AM,,1/1/1900 12:00:00 AM,N,Y
17,8482,22,3,5,ORBIT_System_User,1/3/2023 12:10:04 AM,,1/1/1900 12:00:00 AM,N,Y
17,8483,22,3,5,ORBIT_System_User,1/3/2023 12:14:56 AM,,1/1/1900 12:00:00 AM,N,Y
17,8500,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
27,8560,22,3,5,ORBIT_System_User,1/3/2023 2:21:33 AM,,1/1/1900 12:00:00 AM,N,Y
